,home,distance,type,assisted,result
454,1,26,3-pt jump shot,0,0
455,1,3,2-pt layup,0,0
456,1,30,3-pt jump shot,0,1
457,1,8,2-pt jump shot,0,1
458,1,17,2-pt jump shot,0,0
459,1,28,3-pt jump shot,1,1
460,1,27,3-pt jump shot,0,0
461,1,0,2-pt layup,0,1
462,1,26,3-pt jump shot,1,1
463,1,26,3-pt jump shot,0,0
464,0,1,2-pt layup,0,0
465,0,26,3-pt jump shot,0,0
466,0,25,3-pt jump shot,1,1
467,0,25,3-pt jump shot,1,1
468,0,2,2-pt layup,0,0
469,0,25,3-pt jump shot,1,1
470,0,2,2-pt dunk,1,1
471,0,5,2-pt layup,0,0
472,0,25,3-pt jump shot,0,1
473,0,5,2-pt jump shot,0,1
474,0,2,2-pt layup,0,1
475,0,25,3-pt jump shot,0,0
476,0,1,2-pt layup,0,1
477,0,8,2-pt jump shot,0,0
478,0,23,3-pt jump shot,0,0
479,0,28,3-pt jump shot,1,1
480,0,28,3-pt jump shot,0,0
481,0,16,2-pt jump shot,0,1
482,0,23,3-pt jump shot,0,0
483,1,4,2-pt jump shot,1,1
484,1,3,2-pt layup,0,0
485,1,26,3-pt jump shot,0,0
486,1,25,3-pt jump shot,0,0
487,1,25,3-pt jump shot,0,0
488,1,26,3-pt jump shot,0,0
489,1,1,2-pt layup,1,1
490,1,23,3-pt jump shot,0,0
491,1,2,2-pt layup,1,1
492,1,26,3-pt jump shot,0,0
493,1,1,2-pt dunk,1,1
494,1,25,3-pt jump shot,0,0
495,1,26,3-pt jump shot,0,0
496,1,1,2-pt layup,0,0
497,1,28,3-pt jump shot,1,1
498,1,0,2-pt layup,0,1
499,1,27,3-pt jump shot,0,0
500,1,27,3-pt jump shot,0,1
501,0,25,3-pt jump shot,0,1
502,0,11,2-pt jump shot,0,0
503,0,26,3-pt jump shot,1,1
504,0,20,2-pt jump shot,0,1
505,0,25,3-pt jump shot,1,1
506,0,2,2-pt layup,0,0
507,0,26,3-pt jump shot,0,0
508,0,1,2-pt layup,1,1
509,0,25,3-pt jump shot,0,0
510,0,1,2-pt layup,0,1
511,0,23,3-pt jump shot,0,0
512,0,12,2-pt jump shot,0,0
513,0,24,3-pt jump shot,0,0
514,0,25,3-pt jump shot,0,1
515,0,1,2-pt dunk,1,1
516,0,27,3-pt jump shot,1,1
517,0,26,3-pt jump shot,0,0
518,0,26,3-pt jump shot,0,0
519,0,25,3-pt jump shot,1,1
520,0,14,2-pt jump shot,0,0
521,0,27,3-pt jump shot,0,0
522,0,3,2-pt layup,0,0
523,0,0,2-pt layup,0,1
524,0,26,3-pt jump shot,0,0
525,0,1,2-pt layup,0,1
526,0,24,3-pt jump shot,0,0
527,0,23,3-pt jump shot,1,1
528,0,2,2-pt dunk,0,1
529,0,25,3-pt jump shot,0,0
530,0,2,2-pt layup,0,1
531,0,2,2-pt layup,0,0
532,0,1,2-pt dunk,1,1
533,0,24,3-pt jump shot,1,1
534,0,26,3-pt jump shot,1,1
535,0,1,2-pt dunk,0,1
536,0,2,2-pt layup,0,0
537,0,23,3-pt jump shot,0,0
538,0,1,2-pt layup,0,1
539,0,27,3-pt jump shot,0,0
540,0,2,2-pt layup,0,1
541,0,27,3-pt jump shot,0,0
542,0,27,3-pt jump shot,0,0
543,0,26,3-pt jump shot,0,0
544,0,23,3-pt jump shot,0,0
545,0,2,2-pt layup,1,1
546,0,25,3-pt jump shot,0,0
547,0,1,2-pt layup,0,1
548,1,6,2-pt layup,0,0
549,1,2,2-pt layup,0,0
550,1,1,2-pt layup,0,0
551,1,2,2-pt layup,1,1
552,1,24,3-pt jump shot,0,0
553,1,6,2-pt jump shot,0,0
554,1,2,2-pt dunk,1,1
555,1,1,2-pt dunk,1,1
556,1,28,3-pt jump shot,1,1
557,1,0,2-pt dunk,0,0
558,1,27,3-pt jump shot,0,0
559,0,1,2-pt layup,0,0
560,0,26,3-pt jump shot,0,0
561,0,25,3-pt jump shot,0,0
562,0,26,3-pt jump shot,0,0
563,0,0,2-pt dunk,1,1
564,0,26,3-pt jump shot,0,0
565,0,16,2-pt jump shot,0,0
566,0,25,3-pt jump shot,0,0
567,0,0,2-pt dunk,1,1
568,0,11,2-pt jump shot,0,0
569,0,1,2-pt layup,1,1
570,0,23,3-pt jump shot,0,0
571,0,1,2-pt jump shot,0,0
572,0,0,2-pt layup,0,0
573,0,18,2-pt jump shot,0,0
574,0,25,3-pt jump shot,0,0
575,0,23,3-pt jump shot,1,1
576,0,2,2-pt layup,0,0
577,0,27,3-pt jump shot,0,0
578,0,27,3-pt jump shot,0,0
579,0,17,2-pt jump shot,0,0
580,0,27,3-pt jump shot,0,1
581,0,6,2-pt layup,0,0
582,0,1,2-pt dunk,1,1
