,home,distance,type,assisted,result
470,0,24,3-pt jump shot,1,1
471,0,8,2-pt jump shot,0,1
472,0,27,3-pt jump shot,1,1
473,1,2,2-pt layup,0,1
474,1,26,3-pt jump shot,0,0
475,1,25,3-pt jump shot,1,1
476,1,4,2-pt layup,0,0
477,1,3,2-pt layup,0,0
478,1,13,2-pt jump shot,0,1
479,1,23,3-pt jump shot,0,0
480,1,7,2-pt jump shot,0,0
481,1,8,2-pt jump shot,0,1
482,1,26,3-pt jump shot,0,0
483,1,23,3-pt jump shot,1,1
484,1,4,2-pt layup,0,0
485,1,1,2-pt layup,0,0
486,1,19,2-pt jump shot,1,1
487,1,3,2-pt layup,0,0
488,1,2,2-pt layup,1,1
489,1,24,3-pt jump shot,0,0
490,1,0,2-pt dunk,1,1
491,1,25,3-pt jump shot,0,0
492,1,24,3-pt jump shot,0,0
493,1,26,3-pt jump shot,1,1
494,1,25,3-pt jump shot,0,0
495,1,1,2-pt layup,0,1
496,0,2,2-pt layup,0,1
497,0,15,2-pt jump shot,0,1
498,0,12,2-pt jump shot,0,1
499,0,7,2-pt jump shot,0,1
500,0,25,3-pt jump shot,0,0
501,0,4,2-pt layup,0,1
502,0,13,2-pt jump shot,0,1
503,0,6,2-pt layup,0,1
504,0,23,3-pt jump shot,0,0
505,0,9,2-pt layup,0,0
506,0,15,2-pt jump shot,0,0
507,0,6,2-pt layup,0,1
508,0,25,3-pt jump shot,1,1
509,0,3,2-pt layup,0,1
510,0,10,2-pt jump shot,0,1
511,0,15,2-pt jump shot,1,1
512,0,10,2-pt jump shot,0,1
513,0,21,2-pt jump shot,0,1
514,0,21,2-pt jump shot,0,1
515,0,19,2-pt jump shot,0,0
516,0,11,2-pt jump shot,0,1
517,0,6,2-pt layup,0,1
518,0,11,2-pt jump shot,0,0
519,0,6,2-pt jump shot,0,0
520,0,16,2-pt jump shot,1,1
521,0,4,2-pt layup,0,0
522,0,11,2-pt jump shot,0,1
523,0,3,2-pt layup,0,1
524,0,1,2-pt dunk,0,0
525,1,1,2-pt dunk,1,1
526,1,3,2-pt layup,0,1
527,1,23,3-pt jump shot,0,0
528,1,4,2-pt layup,0,0
529,1,23,3-pt jump shot,1,1
530,1,2,2-pt layup,1,1
531,1,5,2-pt jump shot,0,0
532,1,19,2-pt jump shot,0,0
533,1,24,3-pt jump shot,0,0
534,1,0,2-pt dunk,1,1
535,1,16,2-pt jump shot,0,1
536,1,23,3-pt jump shot,1,1
537,1,26,3-pt jump shot,0,0
538,1,2,2-pt layup,0,0
539,1,1,2-pt layup,0,0
540,1,18,2-pt jump shot,0,0
541,1,11,2-pt jump shot,0,1
542,1,4,2-pt layup,0,1
543,1,18,2-pt jump shot,0,0
544,1,27,3-pt jump shot,0,0
545,1,2,2-pt layup,0,0
546,1,25,3-pt jump shot,1,1
547,1,23,3-pt jump shot,1,1
548,1,22,2-pt jump shot,0,0
549,1,5,2-pt layup,1,1
550,1,27,3-pt jump shot,0,0
551,1,0,2-pt dunk,0,1
552,1,8,2-pt jump shot,0,0
553,1,23,3-pt jump shot,0,0
554,1,13,2-pt jump shot,0,0
555,1,26,3-pt jump shot,1,1
556,1,25,3-pt jump shot,1,1
557,1,24,3-pt jump shot,0,0
558,1,1,2-pt layup,1,1
559,1,11,2-pt jump shot,0,1
560,0,1,2-pt layup,0,1
